Date,SP500,CAPE
1990.01,339.97,17.05
1990.02,330.45,16.51
1990.03,338.46,16.83
1990.04,338.18,16.81
1990.05,350.25,17.39
1990.06,360.39,17.82
1990.07,360.03,17.75
1990.08,330.75,16.17
1990.09,315.41,15.30
1990.1,307.12,14.82
1990.11,315.29,15.19
1990.12,328.75,15.85
1991.01,325.49,15.61
1991.02,362.26,17.35
1991.03,372.28,17.82
1991.04,379.68,18.16
1991.05,377.99,18.04
1991.06,378.29,18.02
1991.07,380.23,18.10
1991.08,389.40,18.51
1991.09,387.20,18.36
1991.1,386.88,18.35
1991.11,385.92,18.29
1991.12,388.51,18.44
1992.01,416.08,19.77
1992.02,412.56,19.58
1992.03,407.36,19.28
1992.04,407.41,19.30
1992.05,414.81,19.66
1992.06,408.27,19.32
1992.07,415.05,19.62
1992.08,417.93,19.72
1992.09,418.48,19.71
1992.1,412.50,19.37
1992.11,422.84,19.83
1992.12,435.64,20.45
1993.01,435.23,20.32
1993.02,441.70,20.55
1993.03,450.16,20.86
1993.04,443.08,20.46
1993.05,445.25,20.52
1993.06,448.06,20.61
1993.07,447.29,20.56
1993.08,454.13,20.81
1993.09,459.24,20.99
1993.1,463.90,21.11
1993.11,462.89,21.04
1993.12,465.95,21.16
1994.01,472.99,21.41
1994.02,471.58,21.26
1994.03,463.81,20.83
1994.04,447.23,20.06
1994.05,450.90,20.20
1994.06,454.83,20.29
1994.07,451.40,20.07
1994.08,464.24,20.54
1994.09,466.96,20.58
1994.1,463.81,20.40
1994.11,461.01,20.21
1994.12,455.19,19.91
1995.01,465.25,20.22
1995.02,481.92,20.80
1995.03,493.15,21.15
1995.04,507.91,21.64
1995.05,523.81,22.20
1995.06,539.35,22.72
1995.07,557.37,23.38
1995.08,559.11,23.28
1995.09,578.77,23.95
1995.1,582.92,23.93
1995.11,595.53,24.35
1995.12,614.57,25.03
1996.01,614.42,24.76
1996.02,649.54,25.98
1996.03,647.07,25.63
1996.04,647.17,25.42
1996.05,661.23,25.81
1996.06,668.50,25.97
1996.07,644.07,24.86
1996.08,662.68,25.41
1996.09,674.88,25.68
1996.1,701.46,26.48
1996.11,735.67,27.59
1996.12,743.25,27.72
1997.01,766.22,28.33
1997.02,798.39,29.27
1997.03,792.16,28.80
1997.04,763.93,27.59
1997.05,833.09,29.93
1997.06,876.29,31.26
1997.07,925.29,32.77
1997.08,927.24,32.59
1997.09,937.02,32.67
1997.1,951.16,32.90
1997.11,938.92,32.34
1997.12,962.37,33.03
1998.01,963.36,32.86
1998.02,1023.74,34.71
1998.03,1076.83,36.30
1998.04,1112.20,37.28
1998.05,1108.42,36.96
1998.06,1108.39,36.80
1998.07,1156.58,38.26
1998.08,1074.62,35.42
1998.09,1020.64,33.53
1998.1,1032.47,33.77
1998.11,1144.43,37.37
1998.12,1190.05,38.82
1999.01,1248.77,40.58
1999.02,1246.58,40.40
1999.03,1281.66,41.36
1999.04,1334.76,42.70
1999.05,1332.07,42.56
